values,name,day,,
10335.3651,jacobi,507,,
10480.60571,jacobi,508,,
11794.90916,jacobi,509,,
11978.80596,jacobi,510,,
11939.20333,jacobi,511,,
12145.03535,jacobi,512,,
12261.25511,jacobi,513,,
12782.28208,jacobi,514,,
12496.27399,jacobi,515,,
13393.80695,jacobi,516,,
12872.24168,jacobi,517,,
12827.23062,jacobi,518,,
12886.77628,jacobi,519,,
13866.58068,jacobi,520,,
13054.52514,jacobi,521,,
13463.58057,jacobi,522,,
13306.0635,jacobi,523,,
14946.50305,jacobi,524,,
14138.23972,jacobi,525,,
15114.87966,jacobi,526,,
15715.76061,jacobi,527,,
15230.39011,jacobi,528,,
13704.94266,jacobi,529,,
14960.79574,jacobi,530,,
15091.24905,jacobi,531,,
15908.11284,jacobi,532,,
14107.1744,jacobi,533,,
14223.6652,jacobi,534,,
14953.10875,jacobi,535,,
13285.03332,jacobi,536,,
13915.31701,jacobi,537,,
14023.74729,jacobi,538,,
14478.29414,jacobi,539,,
14723.85216,jacobi,540,,
14454.29187,jacobi,541,,
14088.60938,jacobi,542,,
14048.82885,jacobi,543,,
13018.82683,jacobi,544,,
12545.82918,jacobi,545,,
13674.17454,jacobi,546,,
12801.1769,jacobi,547,,
13020.54685,jacobi,548,,
12972.91667,jacobi,549,,
12339.30933,jacobi,550,,
11307.3201,jacobi,551,,
10877.53844,jacobi,552,,
10228.9671,jacobi,553,,
10975.71151,jacobi,554,,
10801.28972,jacobi,555,,
10167.71272,jacobi,556,,
8750.669825,jacobi,557,,
9469.010236,jacobi,558,,
8931.052545,jacobi,559,,
8536.52674,jacobi,560,,
8540.107812,jacobi,561,,
8798.167466,jacobi,562,,
7624.361745,jacobi,563,,
8123.93772,jacobi,564,,
7270.214822,jacobi,565,,
7925.927876,jacobi,566,,
7274.653091,jacobi,567,,
7284.196086,jacobi,568,,
7316.782422,jacobi,569,,
7090.440292,jacobi,570,,
6871.158715,jacobi,571,,
6329.554229,jacobi,572,,
6696.171177,jacobi,573,,
6305.756038,jacobi,574,,
6847.487898,jacobi,575,,
6655.311395,jacobi,576,,
6215.685476,jacobi,577,,
6308.869063,jacobi,578,,
6534.090806,jacobi,579,,
6075.299546,jacobi,580,,
6101.993602,jacobi,581,,
6255.824003,jacobi,582,,
5930.83807,jacobi,583,,
6749.836724,jacobi,584,,
6797.963828,jacobi,585,,
6645.287651,jacobi,586,,
6219.798815,jacobi,587,,
6196.805515,jacobi,588,,
5914.068631,jacobi,589,,
6381.317428,jacobi,590,,
6139.028161,jacobi,591,,
6041.576584,jacobi,592,,
6207.191538,jacobi,593,,
6006.156467,jacobi,594,,
5702.465868,jacobi,595,,
5668.990784,jacobi,596,,
5276.701285,jacobi,597,,
5193.067088,jacobi,598,,
5058.710003,jacobi,599,,
4935.320619,jacobi,600,,
4962.196191,jacobi,601,,
4504.072259,jacobi,602,,
4364.13759,jacobi,603,,
4489.797593,jacobi,604,,
4029.842212,jacobi,605,,
3203.817241,jacobi,606,,
3143.990603,jacobi,607,,
3393.98295,jacobi,608,,
2781.308075,jacobi,609,,
2954.549689,jacobi,610,,
2716.366702,jacobi,611,,
2518.158769,jacobi,612,,
2557.537487,jacobi,613,,
2526.3871,jacobi,614,,
2520.098537,jacobi,615,,
2580.742054,jacobi,616,,
2496.629115,jacobi,617,,
2415.440561,jacobi,618,,
2340.267281,jacobi,619,,
2591.004715,jacobi,620,,
2459.377368,jacobi,621,,
3068.265817,jacobi,622,,
3215.738903,jacobi,623,,
3385.503451,jacobi,624,,
3337.757319,jacobi,625,,
3808.892583,jacobi,626,,
3864.3469,jacobi,627,,
4146.757129,jacobi,628,,
4387.91619,jacobi,629,,
4494.337122,jacobi,630,,
4749.495638,jacobi,631,,
4981.624858,jacobi,632,,
5078.302318,jacobi,633,,
5315.400643,jacobi,634,,
5583.75089,jacobi,635,,
5640.566514,jacobi,636,,
5577.642952,jacobi,637,,
5358.743095,jacobi,638,,
5439.310523,jacobi,639,,
5363.551902,jacobi,640,,
5184.798,jacobi,641,,
5033.31269,jacobi,642,,
4825.570223,jacobi,643,,
4487.56057,jacobi,644,,
4301.918037,jacobi,645,,
3838.738625,jacobi,646,,
3404.220412,jacobi,647,,
3059.630886,jacobi,648,,
2720.352647,jacobi,649,,
2265.25769,jacobi,650,,
1920.679574,jacobi,651,,
1453.922759,jacobi,652,,
1146.865243,jacobi,653,,
716.4309374,jacobi,654,,
411.0939484,jacobi,655,,
201.5514872,jacobi,656,,
59.63503974,jacobi,657,,
0,jacobi,658,,
54.02774385,jacobi,659,,
239.1102518,jacobi,660,,
448.5611372,jacobi,661,,
740.0639538,jacobi,662,,
1227.986379,jacobi,663,,
1807.890867,jacobi,664,,
2607.932992,jacobi,665,,
3476.895325,jacobi,666,,
4454.932432,jacobi,667,,
5519.636932,jacobi,668,,
6819.262658,jacobi,669,,
8238.294942,jacobi,670,,
9714.003534,jacobi,671,,
11257.99006,jacobi,672,,
12931.43666,jacobi,673,,
14733.68906,jacobi,674,,
