day,jacobi,time
693,39466.66793,75021
694,39269.04918,70825
695,38838.17551,65490
696,38228.78832,57700
697,37405.57242,25157
698,36421.07727,18960
699,35262.77728,61833
700,33976.31377,51031
701,32535.70599,46071
702,30974.18808,41128
703,29329.47965,36189
704,27607.84488,16560
705,25816.63103,12205
706,24011.06539,37372
707,22174.51287,29118
708,20356.69787,26483
709,18567.27839,23079
710,16815.1168,19822
711,15159.36337,8659
712,13561.47264,6448
713,12062.92026,9538
714,10666.66412,19737
715,9398.21223,14766
716,8258.091199,13509
717,7248.612501,12259
718,6376.628717,5755
719,5638.1422,4773
720,5037.796823,13140
721,4557.514371,10180
722,4205.960606,9613
723,3960.785203,9174
724,3831.438957,8027
725,3783.284789,3534
726,3821.682993,3080
727,3924.670694,8037
728,4070.071697,6297
729,4266.490381,5849
730,4474.074887,5274
731,4694.029238,4371
732,4911.889196,1682
733,5106.529474,1382
734,5281.432559,5124
735,5413.668765,3555
736,5505.226259,3124
737,5541.328601,3193
738,5529.76776,2722
739,5460.442576,1089
740,5334.504047,888
741,5156.333582,3002
742,4928.553288,2403
743,4654.209099,2364
744,4344.635816,2216
745,4005.150528,1831
746,3643.696911,741
747,3271.444818,674
748,2896.210589,2219
749,2532.231169,1854
750,2183.935992,1528
751,1863.534206,1495
752,1578.068259,1314
753,1333.858659,478
754,1135.937046,317
755,990.7067347,573
756,899.1614518,1659
757,861.9664101,1323
758,878.6231907,1183
759,946.9175658,1139
760,1062.865291,379
761,1220.496178,346
762,1412.491559,1416
763,1631.281158,1204
764,1868.471014,1151
765,2115.672563,1000
766,2361.791378,747
767,2598.737915,331
768,2817.685281,275
769,3010.46749,1016
770,3170.071728,790
771,3290.891176,790
772,3368.358618,755
773,3400.009106,693
774,3384.802422,294
775,3323.69265,250
776,3218.670045,778
777,3073.864091,663
778,2895.303657,630
779,2689.651591,272
780,2464.701172,224
781,2229.183269,187
782,1992.242517,207
783,1762.879246,846
784,1550.039827,571
785,1361.877492,723
786,1205.678128,551
787,1087.601239,560
788,1011.983166,261
789,981.7525014,319
790,997.8846155,832
791,1059.537685,656
792,1163.906886,640
793,1306.574473,573
794,1481.235051,516
795,1680.631513,214
796,1896.08837,209
797,2118.481967,801
798,2338.258919,765
799,2546.069097,726
800,2733.066159,644
801,2891.453008,717
802,3014.687899,262
803,3097.967968,252
804,3138.419905,1026
805,3135.242609,459
806,3089.862534,1097
807,3005.88742,986
808,2889.007322,970
809,2746.702836,391
810,2587.992289,329
811,2422.993381,1389
812,2262.436144,1295
813,2117.164154,1379
814,1997.569074,1404
815,1913.052053,1357
816,1871.498322,584
817,1878.865958,547
818,1938.781297,2241
819,2052.32272,2037
820,2217.907412,2272
821,2431.311429,2145
822,2685.868861,2131
823,2972.815631,919
824,3281.780456,866
825,3601.372855,3385
826,3919.901577,3412
827,4226.124687,3589
828,4510.032431,3411
829,4763.580235,3563
830,4981.362338,1543
831,5161.144238,1336
832,5304.22432,6108
833,5415.591229,5723
834,5503.841218,6547
835,5580.85331,6255
836,5661.208509,6287
837,5761.391912,2556
838,5898.795604,2157
839,6090.593176,9838
840,6352.537453,9318
841,6697.776952,9954
842,7135.769541,9739
843,7671.384405,10303
844,8304.277956,4260
845,9028.613145,3603
846,9833.17315,16629
847,10701.89525,16442
848,11614.81351,17733
849,12549.37221,18106
850,13482.01882,18688
851,14389.96565,7695
852,15252.96807,7018
853,16054.95135,27458
854,16785.30919,26382
855,17439.70529,26939
856,18020.23922,26905
857,18534.88368,26372
858,18996.16898,10639
859,19419.17293,9235
860,19818.96768,36314
861,20207.76959,34654
862,20592.12356,35035
863,20970.51478,33907
864,21331.82573,31504
865,21655.03018,12241
866,21910.42645,10700
867,22062.55491,41344
868,22074.71904,36638
869,21914.7493,34540
870,21561.33909,32211
871,21009.98515,28583
872,20277.33567,10970
873,19402.66085,9019
874,18445.28798,34859
875,17477.26129,29228
876,16571.24746,28232
877,15784.81842,24642
878,15143.63333,21418
879,14627.52789,8145
880,14164.76212,6167
881,13640.15061,23760
882,12921.76644,19089
883,11907.45351,16692
884,10585.49099,13980
885,9092.544133,11391
886,7736.16317,4245
887,6929.468092,3584
888,6965.623181,13316
889,7546.869464,9479
890,6991.917725,4504
891,1102.292086,2
